,weights
2017-07-20 23:59:00+00:00,"coin
eth    0.380655
btc    0.319723
etc    0.102223
ltc    0.102109
xrp    0.062826
eos    0.015603
zec    0.007090
neo    0.004397
xmr    0.003313
iot    0.002062
Name: volume, dtype: float64"
2017-07-21 23:59:00+00:00,"coin
eth    0.380655
btc    0.319723
etc    0.102223
ltc    0.102109
xrp    0.062826
eos    0.015603
zec    0.007090
neo    0.004397
xmr    0.003313
iot    0.002062
Name: volume, dtype: float64"
2017-07-22 23:59:00+00:00,"coin
eth    0.380655
btc    0.319723
etc    0.102223
ltc    0.102109
xrp    0.062826
eos    0.015603
zec    0.007090
neo    0.004397
xmr    0.003313
iot    0.002062
Name: volume, dtype: float64"
2017-07-23 23:59:00+00:00,"coin
eth    0.380655
btc    0.319723
etc    0.102223
ltc    0.102109
xrp    0.062826
eos    0.015603
zec    0.007090
neo    0.004397
xmr    0.003313
iot    0.002062
Name: volume, dtype: float64"
2017-07-24 23:59:00+00:00,"coin
eth    0.380655
btc    0.319723
etc    0.102223
ltc    0.102109
xrp    0.062826
eos    0.015603
zec    0.007090
neo    0.004397
xmr    0.003313
iot    0.002062
Name: volume, dtype: float64"
2017-07-25 23:59:00+00:00,"coin
btc    0.423957
eth    0.386869
ltc    0.075603
xrp    0.044276
etc    0.034108
eos    0.015211
zec    0.007872
neo    0.007116
xmr    0.003247
iot    0.001741
Name: volume, dtype: float64"
2017-07-26 23:59:00+00:00,"coin
btc    0.423957
eth    0.386869
ltc    0.075603
xrp    0.044276
etc    0.034108
eos    0.015211
zec    0.007872
neo    0.007116
xmr    0.003247
iot    0.001741
Name: volume, dtype: float64"
2017-07-27 23:59:00+00:00,"coin
btc    0.423957
eth    0.386869
ltc    0.075603
xrp    0.044276
etc    0.034108
eos    0.015211
zec    0.007872
neo    0.007116
xmr    0.003247
iot    0.001741
Name: volume, dtype: float64"
2017-07-28 23:59:00+00:00,"coin
btc    0.423957
eth    0.386869
ltc    0.075603
xrp    0.044276
etc    0.034108
eos    0.015211
zec    0.007872
neo    0.007116
xmr    0.003247
iot    0.001741
Name: volume, dtype: float64"
2017-07-29 23:59:00+00:00,"coin
btc    0.423957
eth    0.386869
ltc    0.075603
xrp    0.044276
etc    0.034108
eos    0.015211
zec    0.007872
neo    0.007116
xmr    0.003247
iot    0.001741
Name: volume, dtype: float64"
2017-07-30 23:59:00+00:00,"coin
btc    0.423957
eth    0.386869
ltc    0.075603
xrp    0.044276
etc    0.034108
eos    0.015211
zec    0.007872
neo    0.007116
xmr    0.003247
iot    0.001741
Name: volume, dtype: float64"
2017-07-31 23:59:00+00:00,"coin
btc    0.423957
eth    0.386869
ltc    0.075603
xrp    0.044276
etc    0.034108
eos    0.015211
zec    0.007872
neo    0.007116
xmr    0.003247
iot    0.001741
Name: volume, dtype: float64"
2017-08-01 23:59:00+00:00,"coin
btc    0.460855
eth    0.362345
ltc    0.065990
xrp    0.036273
etc    0.024032
eos    0.022337
zec    0.012309
xmr    0.007676
neo    0.006467
iot    0.001715
Name: volume, dtype: float64"
2017-08-02 23:59:00+00:00,"coin
btc    0.460855
eth    0.362345
ltc    0.065990
xrp    0.036273
etc    0.024032
eos    0.022337
zec    0.012309
xmr    0.007676
neo    0.006467
iot    0.001715
Name: volume, dtype: float64"
2017-08-03 23:59:00+00:00,"coin
btc    0.460855
eth    0.362345
ltc    0.065990
xrp    0.036273
etc    0.024032
eos    0.022337
zec    0.012309
xmr    0.007676
neo    0.006467
iot    0.001715
Name: volume, dtype: float64"
2017-08-04 23:59:00+00:00,"coin
btc    0.460855
eth    0.362345
ltc    0.065990
xrp    0.036273
etc    0.024032
eos    0.022337
zec    0.012309
xmr    0.007676
neo    0.006467
iot    0.001715
Name: volume, dtype: float64"
2017-08-05 23:59:00+00:00,"coin
btc    0.460855
eth    0.362345
ltc    0.065990
xrp    0.036273
etc    0.024032
eos    0.022337
zec    0.012309
xmr    0.007676
neo    0.006467
iot    0.001715
Name: volume, dtype: float64"
2017-08-06 23:59:00+00:00,"coin
btc    0.460855
eth    0.362345
ltc    0.065990
xrp    0.036273
etc    0.024032
eos    0.022337
zec    0.012309
xmr    0.007676
neo    0.006467
iot    0.001715
Name: volume, dtype: float64"
2017-08-07 23:59:00+00:00,"coin
btc    0.460855
eth    0.362345
ltc    0.065990
xrp    0.036273
etc    0.024032
eos    0.022337
zec    0.012309
xmr    0.007676
neo    0.006467
iot    0.001715
Name: volume, dtype: float64"
2017-08-08 23:59:00+00:00,"coin
btc    0.434087
eth    0.335572
bch    0.082286
ltc    0.047730
etc    0.025578
neo    0.025118
xrp    0.023052
eos    0.014751
zec    0.008051
iot    0.003776
Name: volume, dtype: float64"
2017-08-09 23:59:00+00:00,"coin
btc    0.434087
eth    0.335572
bch    0.082286
ltc    0.047730
etc    0.025578
neo    0.025118
xrp    0.023052
eos    0.014751
zec    0.008051
iot    0.003776
Name: volume, dtype: float64"
2017-08-10 23:59:00+00:00,"coin
btc    0.434087
eth    0.335572
bch    0.082286
ltc    0.047730
etc    0.025578
neo    0.025118
xrp    0.023052
eos    0.014751
zec    0.008051
iot    0.003776
Name: volume, dtype: float64"
2017-08-11 23:59:00+00:00,"coin
btc    0.434087
eth    0.335572
bch    0.082286
ltc    0.047730
etc    0.025578
neo    0.025118
xrp    0.023052
eos    0.014751
zec    0.008051
iot    0.003776
Name: volume, dtype: float64"
2017-08-12 23:59:00+00:00,"coin
btc    0.434087
eth    0.335572
bch    0.082286
ltc    0.047730
etc    0.025578
neo    0.025118
xrp    0.023052
eos    0.014751
zec    0.008051
iot    0.003776
Name: volume, dtype: float64"
2017-08-13 23:59:00+00:00,"coin
btc    0.434087
eth    0.335572
bch    0.082286
ltc    0.047730
etc    0.025578
neo    0.025118
xrp    0.023052
eos    0.014751
zec    0.008051
iot    0.003776
Name: volume, dtype: float64"
2017-08-14 23:59:00+00:00,"coin
btc    0.434087
eth    0.335572
bch    0.082286
ltc    0.047730
etc    0.025578
neo    0.025118
xrp    0.023052
eos    0.014751
zec    0.008051
iot    0.003776
Name: volume, dtype: float64"
2017-08-15 23:59:00+00:00,"coin
btc    0.509234
eth    0.292681
neo    0.064122
ltc    0.039915
bch    0.035777
xrp    0.023005
etc    0.012256
eos    0.009698
iot    0.008255
zec    0.005057
Name: volume, dtype: float64"
